Path;File;Type;Filter;Score;dX;dY;Angle;Date/Time;Size;CFA;Depth;Info;ISO/Gain;Exposure;Aperture;FWHM;#Stars;Sky Background
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6465.JPG;Light;;29137.15;71.09;-87.33;0.12°;11/02/2021 22:10;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.90;4057;59.38 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6448.JPG;Light;;24681.11;66.47;-97.74;0.08°;11/02/2021 22:04;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.80;3492;59.96 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6461.JPG;Light;;27625.44;70.06;-90.06;0.11°;11/02/2021 22:08;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.6 s ;0.0;4.01;3873;59.38 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6532.JPG;Light;;20722.72;92.54;-43.95;0.22°;11/02/2021 22:34;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.30;3258;58.20 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6571.JPG;Light;;22026.16;106.29;-16.28;0.25°;11/02/2021 22:47;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.19;3404;57.62 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6581.JPG;Light;;26682.81;122.43;-5.76;0.27°;11/02/2021 22:51;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.6 s ;0.0;3.92;3762;57.03 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6483.JPG;Light;;21599.23;69.55;-77.75;0.15°;11/02/2021 22:16;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.17;3383;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6484.JPG;Light;;26412.24;69.31;-78.32;0.15°;11/02/2021 22:16;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;3.86;3759;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6475.JPG;Light;;26130.98;65.62;-83.61;0.13°;11/02/2021 22:13;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.85;3688;58.99 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6482.JPG;Light;;27146.09;74.66;-76.03;0.14°;11/02/2021 22:16;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.90;3879;58.60 %
